Company,Operating_System,Model,RAM(GB),Hard Disk,Price(₹),Rating,Total Reviews,Product Links
Primebook,,4G Android Based MediaTek MT8788 ,4,,16990,4,563,https://www.flipkart.com/primebook-4g-android-based-mediatek-mt8788-4-gb-64-gb-emmc-storage-prime-os-thin-light-laptop/p/itmecb7e931de990?pid=COMGH2NKYVZCVXAW&lid=LSTCOMGH2NKYVZCVXAWAYX3II&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_14_320&otracker=search&otracker1=search&fm=organic&iid=en_Og2kKqIA5dPvsDpsClPgS7CMVwMLU8TvaPaLsBS%2BsFcdTY%2BdkkYh9CkSfJs7af7DtJy3tb%2BFfdIU1ruyfsyImg%3D%3D&ppt= &ppn= &ssid=so1vtdwr400000001684914535482&qH=c06ea84a1e3dc3c6
Primebook,,4G Android Based MediaTek MT8788 ,4,,16990,4,563,https://www.flipkart.com/primebook-4g-android-based-mediatek-mt8788-4-gb-64-gb-emmc-storage-prime-os-thin-light-laptop/p/itmecb7e931de990?pid=COMGH2NKYVZCVXAW&lid=LSTCOMGH2NKYVZCVXAWAYX3II&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_15_340&otracker=search&otracker1=search&fm=organic&iid=en_GDe%2BM80FnDI6nS5iQQB%2FLvHTFh%2FUsvLkvKAYkFt5NFEk0REdkTV5cZVVRUnnVT2RtJy3tb%2BFfdIU1ruyfsyImg%3D%3D&ppt= &ppn= &ssid=68omnrsxo00000001684914536467&qH=c06ea84a1e3dc3c6
Primebook,,4G Android Based MediaTek MT8788 ,4,,16990,4,563,https://www.flipkart.com/primebook-4g-android-based-mediatek-mt8788-4-gb-64-gb-emmc-storage-prime-os-thin-light-laptop/p/itmecb7e931de990?pid=COMGH2NKYVZCVXAW&lid=LSTCOMGH2NKYVZCVXAWAYX3II&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_16_368&otracker=search&otracker1=search&fm=organic&iid=en_1jqTCDvXMld9JqiJ3VyCIJxTstxHwKaOePBO21%2BUgwkQBeshZf7ozJLsWdjLUnMTtJy3tb%2BFfdIU1ruyfsyImg%3D%3D&ppt= &ppn= &ssid=u3haqtq2ww0000001684914538016&qH=c06ea84a1e3dc3c6
Primebook,,4G Android Based MediaTek MT8788 ,4,,16990,4,563,https://www.flipkart.com/primebook-4g-android-based-mediatek-mt8788-4-gb-64-gb-emmc-storage-prime-os-thin-light-laptop/p/itmecb7e931de990?pid=COMGH2NKYVZCVXAW&lid=LSTCOMGH2NKYVZCVXAWAYX3II&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_17_388&otracker=search&otracker1=search&fm=organic&iid=en_zyt5jgsVRDeFceCZNZXiT43q6FjVl6pivkkStFi1qMyIn%2FdsiWufstRvsQiQb2aOtJy3tb%2BFfdIU1ruyfsyImg%3D%3D&ppt= &ppn= &ssid=7ckm4rr6qo0000001684914539000&qH=c06ea84a1e3dc3c6
ASUS,,Chromebook Flip Touch Celeron Dual Core ,4,,16990,4,"2,676",https://www.flipkart.com/asus-chromebook-flip-touch-celeron-dual-core-4-gb-32-gb-emmc-storage-chrome-os-c214ma-bu0704/p/itmc0ba19a0da373?pid=COMGHFTHHXH9AKMS&lid=LSTCOMGHFTHHXH9AKMSUIBIH6&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_17_399&otracker=search&otracker1=search&fm=organic&iid=9ae9e4eb-cb3e-45d3-b879-8418e8a370a7.COMGHFTHHXH9AKMS.SEARCH&ppt= &ppn= &ssid=7ckm4rr6qo0000001684914539000&qH=c06ea84a1e3dc3c6
Primebook,,4G Android Based MediaTek MT8788 ,4,,16990,4,563,https://www.flipkart.com/primebook-4g-android-based-mediatek-mt8788-4-gb-64-gb-emmc-storage-prime-os-thin-light-laptop/p/itmecb7e931de990?pid=COMGH2NKYVZCVXAW&lid=LSTCOMGH2NKYVZCVXAWAYX3II&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_19_436&otracker=search&otracker1=search&fm=organic&iid=en_rmY%2F8c3domVm5a0kiOJJfpH2TkBx3GVdUhjjSe7ZwMEDG66pLrsIfEyxTgQmTfvatJy3tb%2BFfdIU1ruyfsyImg%3D%3D&ppt= &ppn= &ssid=ozsouof2r40000001684914541055&qH=c06ea84a1e3dc3c6
Primebook,,4G Android Based MediaTek MT8788 ,4,,16990,4,563,https://www.flipkart.com/primebook-4g-android-based-mediatek-mt8788-4-gb-64-gb-emmc-storage-prime-os-thin-light-laptop/p/itmecb7e931de990?pid=COMGH2NKYVZCVXAW&lid=LSTCOMGH2NKYVZCVXAWAYX3II&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_20_460&otracker=search&otracker1=search&fm=organic&iid=en_fX%2F%2BSpvKSb%2FUcsXdwlWbIGTePY8PhnHqwBudUP6%2BEFxjYFnvSi2FScTzrXluGLREtJy3tb%2BFfdIU1ruyfsyImg%3D%3D&ppt= &ppn= &ssid=72bw9o76rk0000001684914542080&qH=c06ea84a1e3dc3c6
Primebook,,4G Android Based MediaTek MT8788 ,4,,16990,4,563,https://www.flipkart.com/primebook-4g-android-based-mediatek-mt8788-4-gb-64-gb-emmc-storage-prime-os-thin-light-laptop/p/itmecb7e931de990?pid=COMGH2NKYVZCVXAW&lid=LSTCOMGH2NKYVZCVXAWAYX3II&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_21_488&otracker=search&otracker1=search&fm=organic&iid=en_8tffiRGBhL3epUN5zu89mjXqFDvpsl77IReSfycduRwmQ7BnruFO8mJDirrz08hZtJy3tb%2BFfdIU1ruyfsyImg%3D%3D&ppt= &ppn= &ssid=lg6amdi8xs0000001684914543167&qH=c06ea84a1e3dc3c6
Primebook,,4G Android Based MediaTek MT8788 ,4,,16990,4,563,https://www.flipkart.com/primebook-4g-android-based-mediatek-mt8788-4-gb-64-gb-emmc-storage-prime-os-thin-light-laptop/p/itmecb7e931de990?pid=COMGH2NKYVZCVXAW&lid=LSTCOMGH2NKYVZCVXAWAYX3II&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_22_508&otracker=search&otracker1=search&fm=organic&iid=en_bKna6UQ6DHjHCkGY0nopHCtv8tlsBHVfmXYssmkuIainODACnRudeqm2M3meyEMItJy3tb%2BFfdIU1ruyfsyImg%3D%3D&ppt= &ppn= &ssid=vku65hgjs00000001684914544426&qH=c06ea84a1e3dc3c6
Primebook,,4G Android Based MediaTek MT8788 ,4,,16990,4,563,https://www.flipkart.com/primebook-4g-android-based-mediatek-mt8788-4-gb-64-gb-emmc-storage-prime-os-thin-light-laptop/p/itmecb7e931de990?pid=COMGH2NKYVZCVXAW&lid=LSTCOMGH2NKYVZCVXAWAYX3II&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_23_532&otracker=search&otracker1=search&fm=organic&iid=en_AuDI8424309tHTTHnNWwNuFC6swJgGJlpx8ehDQBntvVo4kFRdl7WIX213r%2FWndltJy3tb%2BFfdIU1ruyfsyImg%3D%3D&ppt= &ppn= &ssid=mn5pvvcc9s0000001684914545535&qH=c06ea84a1e3dc3c6
Primebook,,4G Android Based MediaTek MT8788 ,4,,16990,4,563,https://www.flipkart.com/primebook-4g-android-based-mediatek-mt8788-4-gb-64-gb-emmc-storage-prime-os-thin-light-laptop/p/itmecb7e931de990?pid=COMGH2NKYVZCVXAW&lid=LSTCOMGH2NKYVZCVXAWAYX3II&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_24_560&otracker=search&otracker1=search&fm=organic&iid=en_RQYG4B%2B%2BecvLUhMZMwKi3b%2BDpR5fVPNK6vDGAeZu5H1XmoOYCIb9B%2Fg1o%2FQE%2BS1QtJy3tb%2BFfdIU1ruyfsyImg%3D%3D&ppt= &ppn= &ssid=lxvsgg3yj40000001684914546745&qH=c06ea84a1e3dc3c6
Primebook,,4G Android Based MediaTek MT8788 ,4,,16990,4,563,https://www.flipkart.com/primebook-4g-android-based-mediatek-mt8788-4-gb-64-gb-emmc-storage-prime-os-thin-light-laptop/p/itmecb7e931de990?pid=COMGH2NKYVZCVXAW&lid=LSTCOMGH2NKYVZCVXAWAYX3II&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_25_584&otracker=search&otracker1=search&fm=organic&iid=en_tXgTd3CaCVF8PIGdeC5C%2BFbme6eodr5tjXbQKI9trr3InXGYxzYBzfLFn6fccWs7tJy3tb%2BFfdIU1ruyfsyImg%3D%3D&ppt= &ppn= &ssid=26aqtge0cw0000001684914547850&qH=c06ea84a1e3dc3c6
Primebook,,4G Android Based MediaTek MT8788 ,4,,16990,4,563,https://www.flipkart.com/primebook-4g-android-based-mediatek-mt8788-4-gb-64-gb-emmc-storage-prime-os-thin-light-laptop/p/itmecb7e931de990?pid=COMGH2NKYVZCVXAW&lid=LSTCOMGH2NKYVZCVXAWAYX3II&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_26_608&otracker=search&otracker1=search&fm=organic&iid=en_e108G%2FsvY%2F4jr9aAmURdyYXIGrRppM7wusYdA5bi7n0oX%2FoRrrFQZaqaO2R4dQyxtJy3tb%2BFfdIU1ruyfsyImg%3D%3D&ppt= &ppn= &ssid=h2aik3insw0000001684914549034&qH=c06ea84a1e3dc3c6
Primebook,,4G Android Based MediaTek MT8788 ,4,,16990,4,563,https://www.flipkart.com/primebook-4g-android-based-mediatek-mt8788-4-gb-64-gb-emmc-storage-prime-os-thin-light-laptop/p/itmecb7e931de990?pid=COMGH2NKYVZCVXAW&lid=LSTCOMGH2NKYVZCVXAWAYX3II&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_27_628&otracker=search&otracker1=search&fm=organic&iid=en_WxGaWKuLqraBRTTd1XXoQ138XTVD7UOrxv0gfiJXFebU8ebdFm8EqIgg2rIOofoDtJy3tb%2BFfdIU1ruyfsyImg%3D%3D&ppt= &ppn= &ssid=xl2bch4jb40000001684914550105&qH=c06ea84a1e3dc3c6
Primebook,,4G Android Based MediaTek MT8788 ,4,,16990,4,563,https://www.flipkart.com/primebook-4g-android-based-mediatek-mt8788-4-gb-64-gb-emmc-storage-prime-os-thin-light-laptop/p/itmecb7e931de990?pid=COMGH2NKYVZCVXAW&lid=LSTCOMGH2NKYVZCVXAWAYX3II&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_28_660&otracker=search&otracker1=search&fm=organic&iid=en_FuxrZhcuZL3l8TdB55mfNIle3VJIYekFqMMuwjH0Ra5j2gJMItCJe4stz9HF2RZYtJy3tb%2BFfdIU1ruyfsyImg%3D%3D&ppt= &ppn= &ssid=jrh3xit8cw0000001684914551187&qH=c06ea84a1e3dc3c6
Primebook,,4G Android Based MediaTek MT8788 ,4,,16990,4,563,https://www.flipkart.com/primebook-4g-android-based-mediatek-mt8788-4-gb-64-gb-emmc-storage-prime-os-thin-light-laptop/p/itmecb7e931de990?pid=COMGH2NKYVZCVXAW&lid=LSTCOMGH2NKYVZCVXAWAYX3II&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_29_676&otracker=search&otracker1=search&fm=organic&iid=en_TK6p%2BSyZANY4MKuzkQdoZ8pPHVVb7%2Bl95PtjNi%2F8MeRPmbxyrhRaudN0LTfC%2FtYgtJy3tb%2BFfdIU1ruyfsyImg%3D%3D&ppt= &ppn= &ssid=d9ji0psixs0000001684914552339&qH=c06ea84a1e3dc3c6
Primebook,,4G Android Based MediaTek MT8788 ,4,,16990,4,563,https://www.flipkart.com/primebook-4g-android-based-mediatek-mt8788-4-gb-64-gb-emmc-storage-prime-os-thin-light-laptop/p/itmecb7e931de990?pid=COMGH2NKYVZCVXAW&lid=LSTCOMGH2NKYVZCVXAWAYX3II&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_30_700&otracker=search&otracker1=search&fm=organic&iid=en_gZ6PBUsahXlMNe7g9iwvM39vedTBDgGIBIgg5IUhPP%2BpX6%2BRBAa2qwGixdC%2BWj0mtJy3tb%2BFfdIU1ruyfsyImg%3D%3D&ppt= &ppn= &ssid=qrqxbztfg00000001684914553580&qH=c06ea84a1e3dc3c6
