,Company,Operating_System,Model,RAM(GB),Hard Disk(GB),Price(₹),Rating,Total Reviews,Product Links
14,HP,,"HP Chromebook 11A G6 EE 11.6 inches HD Chromebook (AMD A4-9120C/4GB/16GB eMMC/Chrome OS 64/AMD Radeon R4 Graphics),Delicate Orange - 6QG64PA, 1.27Kg",4,,,3.1,40,https://www.amazon.in/Refurbished-HP-Chromebook-A4-9120C-Graphics/dp/B09JP9F3NG/ref=sr_1_239?keywords=laptops&qid=1681370088&sr=8-239
15,Apple,Mac,"2022 MacBook Air Laptop with M2 chip: 34.46 cm (13.6-inch) Liquid Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone/iPad; Starlight",8,256,119900,4.3,19,https://www.amazon.in/2022-Apple-MacBook-Laptop-chip/dp/B0B3C6FBPF/ref=sr_1_240?keywords=laptops&qid=1681370088&sr=8-240
16,Dell,Windows 10,Inspiron 3501 39.62 Cm (15.6 Inches) Fhd Display Laptop (11Th Gen Intel I3-1115G4/ 8Gb/1 Tb HDD/Integrated Graphics/Windows 10 + Mso/Soft Mint Color) D560424Win9S,8Gb,1,43100,3.6,173,https://www.amazon.in/Dell-Inspiron-3501-Integrated-D560424WIN9S/dp/B0919HLGYC/ref=sr_1_241?keywords=laptops&qid=1681370137&sr=8-241
17,Dell,,"Inspiron 3520 Laptop,12th Gen Intel Core i5-1235U, 8GB, 1TB + 256GB SSD, 15.6"" (39.62Cms) FHD WVA AG 120Hz 250 nits, Win 11 + MSO'21, Black (D560874WIN9B, 1.65KGs)",8,256,56990,3.2,8,https://www.amazon.in/Dell-Inspiron-Laptop-i5-1235U-D560874WIN9B/dp/B0BQJ8KL7Q/ref=sr_1_242?keywords=laptops&qid=1681370137&sr=8-242
18,Lenovo,Windows 11,"ThinkPad E14 Intel Core i7 12th Gen 14"" FHD IPS Thin and Light Laptop (16GB RAM/1TB SSD/Windows 11 Home/MS Office H&S 2021/Backlit Keybaord/FPR/Black/1.59 kg), 21E3S05800",16,1,98990,3.6,15,https://www.amazon.in/Lenovo-ThinkPad-Windows-Keybaord-21E3S05800/dp/B0BDM5KPQ7/ref=sr_1_243?keywords=laptops&qid=1681370137&sr=8-243
19,Dell,Windows 11,"Inspiron 3511 Laptop, Intel I3-1005G1, 8Gb, 256Gb Ssd, Windows 11 + Ms Office'21, 15.6 Inches (39.62Cms) Fhd Display, Carbon Black (D560680Win9Be, 1.8Kgs)",8Gb,,38990,3.3,747,https://www.amazon.in/Dell-Inspiron-3511-i3-1005G1-D560680WIN9BE/dp/B09NLS5HFY/ref=sr_1_244?keywords=laptops&qid=1681370137&sr=8-244
20,Lenovo,,"Thinkpad P15v 12th Gen Intel Core i9 15.6""(39.62cm) FHD IPS Antiglare 300nits Thin and Light Workstation (32GB/1TB SSD/Win 11 Pro/NVIDIA RTX A2000 4GB Graphics/Backlit/Black/2.22Kg), 21D8S01T00",32,1,245990,Previous,,https://www.amazon.in/Lenovo-Thinkpad-Antiglare-Workstation-21D8S01T00/dp/B0BX9VZV6L/ref=sr_1_245?keywords=laptops&qid=1681370137&sr=8-245
21,ASUS,Windows 11,"VivoBook 14 (2021), Intel Core i5-1135G7 11th Gen, 14-inch (35.56 cms) FHD Thin and Light Laptop (8GB/1TB HDD + 256GB SSD/Office 2021/Windows 11/Iris Xe Graphics/Silver/1.6 Kg), X415EA-EK572WS",8,1,47990,4.1,560,https://www.amazon.in/ASUS-VivoBook-i5-1135G7-Graphics-X415EA-EK572WS/dp/B09DX8FZSL/ref=sr_1_246?keywords=laptops&qid=1681370137&sr=8-246
22,Dell,Windows 11,"G15 5520 Windows 11 Gaming Laptop, Intel i7-12700H, 16GB, 512Gb, NVIDIA RTX 3050 Ti (4GB GDDR6), 15.6"" - 39.62Cms FHD WVA AG 120Hz 250 nits, Backlit KB Orange, Shadow Grey, 2.81Kgs - D560823WIN9B",16,,99990,3.7,10,https://www.amazon.in/Dell-Windows-Gaming-Laptop-i7-12700H/dp/B09XXNKLBF/ref=sr_1_247?keywords=laptops&qid=1681370137&sr=8-247
23,Acer,,"Swift 5 SF514-55TA Intel EVO Thin and Light Laptop 14""(35cm) Full HD IPS Touch Display 11th Gen Intel Core i5-1135G7 Processor 8GB LPDDR4X 512GB SSD FPR Backlit Keyboard Win 11 MSO 2021, Windows",8,512,74999,4.4,10,https://www.amazon.in/Acer-SF514-55TA-i5-1135G7-Processor-Keyboard/dp/B09M3GP7K6/ref=sr_1_248?keywords=laptops&qid=1681370137&sr=8-248
24,Dell,,"Inspiron 7420 2in1 Laptop,12th Gen Intel Core i3-1215U, 8GB & 256GB SSD, 14.0"" (35.56Cms) FHD+ WVA Touch 250 nits, Backlit KB, Win 11 + MSO'21, Platinum Silver (D560904WIN9SE, 1.57KGs)",8,256,53990,4.1,133,https://www.amazon.in/Dell-Inspiron-i3-1215U-35-56Cms-D560904WIN9SE/dp/B0BQJ8NZ5W/ref=sr_1_249?keywords=laptops&qid=1681370137&sr=8-249
25,Lenovo,Windows 11,"Legion 5 AMD Ryzen 7 5800H 15.6"" (39.62cm) WQHD IPS Gaming Laptop (16GB/512GB SSD/6GB NVIDIA RTX 3060/165Hz/Windows 11/Office 2021/Blue Backlit/3months Game Pass/Stingray/2.4Kg), 82JU018YIN",16,512,104990,4.6,217,https://www.amazon.in/Lenovo-39-62cm-Windows-Stingray-82JU018YIN/dp/B09Y5VRMRH/ref=sr_1_250?keywords=laptops&qid=1681370137&sr=8-250
26,Dell,Windows 11,"G15 5520 Windows 11 Gaming Laptop, Intel i5-12500H, Win 11 + MS Office' 21, 8GB DDR5, 512GB SSD, NVIDIA RTX 3050 (4GB GDDR6), Backlit KB Orange, Dark Shadow Grey - D560736WIN9B, 2.81Kgs",8,512,,3.6,4,https://www.amazon.in/Dell-i5-12500H-Office21-Backlit-D560736WIN9B/dp/B09TNYLPBF/ref=sr_1_251?keywords=laptops&qid=1681370137&sr=8-251
27,Dell,Windows 11,"Dell Latitude E7270 6th Gen Intel Core i7 Thin & Light FHD Laptop (16 GB DDR4 RAM/512 GB SSD/12.5"" (31.8 cm) FHD/Windows 11/MS Office/WiFi/Bluetooth/Webcam/Integrated Graphics)",16 ,512,,3.4,34,https://www.amazon.in/Dell-Latitude-Bluetooth-Integrated-Graphics/dp/B0BVZD7V4Z/ref=sr_1_252?keywords=laptops&qid=1681370137&sr=8-252
28,Microsoft,Windows 11,"Surface GO 3 Black Intel Pentium T6600 Processor 10.5 inches (26cm) Business Laptop (8GB/128GB SSD/Windows 11 Home), Black, 8VA-00028, 0.544 kg",8,128,56990,4.0,64,https://www.amazon.in/Microsoft-Surface-Processor-Business-8VA-00028/dp/B093X6DCJK/ref=sr_1_253?keywords=laptops&qid=1681370137&sr=8-253
29,HP,,"Pavilion x360,12th Gen Intel Core i5-1235U 8GB RAM/512GB SSD 14-inch(35.6 cm) Multitouch-enabled Micro-Edge FHD Laptop /Intel Iris Xe Graphics/Backlit KB/B&O/Win 11/MSO 2021/Space Blue, 14-ek0086TU",8,512,69990,4.1,43,https://www.amazon.in/HP-Pavilion-Multitouch-enabled-Micro-Edge-14-ek0086TU/dp/B0B58SWPNS/ref=sr_1_255?keywords=laptops&qid=1681370137&sr=8-255
30,ASUS,Windows 11,"Ryzen 9 Octa Core 9th Gen - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) M3500QC-L901WS Gaming Laptop (15.6 inch, Quiet Blue, with MS Office",16 ,1,91990,4.1,4,https://www.amazon.in/ASUS-Ryzen-Octa-Core-M3500QC-L901WS/dp/B0BSR2BVW7/ref=sr_1_256?keywords=laptops&qid=1681370137&sr=8-256
